年	号数	掲載順 	タイトル	作者	原作者	頁	区分	カラー	備考
2023	06	13	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	195	連載		
2023	06	14	きのう何食べた？	よしながふみ		215	連載		
2023	06	15	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	233	連載		
2023	06	16	とりぱん	とりのなん子		257	連載		
2023	06	17	バトルスタディーズ	なきぼくろ		261	連載		
2023	06	18	黒博物館 三日月よ、怪物と踊れ	藤田和日郎		285	連載		
2023	06	19	ボールパークでつかまえて！	須賀達郎		303	連載		
2023	06	20	鉄血キュッヘェ	中島三千恒		315	連載		
2023	06	21	踊れ獅子堂賢	常喜寝太郎		349	連載		
2023	06	22	吉原プラトニック	オキモト・シュウ	藤川よつ葉	367	連載		
2023	06	23	クッキングパパ	うえやまとち		389	連載		
2023	06	24	いきものがたり	松本ひで吉		407	出張掲載		
2023	07	1	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	3	連載	C	
2023	07	2	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	23	連載		
2023	07	3	テレワァク与太話	山田金鉄		43	連載		
2023	07	4	艦隊のシェフ	萩原玲二	池田邦彦	53	連載		
2023	07	5	ジドリの女王～氏家真知子最後の取材～	トウテムポール		77	連載		
2023	07	6	望郷太郎	山田芳裕		99	連載		
2023	07	7	18=80	岩淵竜子		119	連載		
2023	07	8	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	141	連載		
2023	07	9	上京生活録イチジョウ	三好智樹・瀬戸義明	萩原天晴	161	連載		
2023	07	10	焼いてるふたり	ハナツカシオリ		181	連載		
2023	07	11	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	197	連載		
2023	07	12	とりぱん	とりのなん子		219	連載		
2023	07	13	バトルスタディーズ	なきぼくろ		223	連載		
2023	07	14	夢てふものは頼みそめてき Daydream Believers	灰田高鴻		241	連載		
2023	07	15	リバーベッド	青井ぬゐ	磯部涼	261	連載		
2023	07	16	この会社に好きな人がいます	榎本あかまる		283	連載		
2023	07	17	黒博物館 三日月よ、怪物と踊れ	藤田和日郎		297	連載		
2023	07	18	社外取締役 島耕作	弘兼憲史		315	連載		
2023	07	19	今日もベランダで	糸川一成		333	連載		
2023	07	20	吉原プラトニック	オキモト・シュウ	藤川よつ葉	347	連載		
2023	07	21	惑わない星	石川雅之		377	連載		
2023	07	22	ツイステッド・シスターズ	山下和美		393	連載		
2023	07	23	クッキングパパ	うえやまとち		409	連載		
2023	07	24	いきものがたり	松本ひで吉		427	出張掲載		
2023	08	1	ひらばのひと	久世番子		3	連載	C	移籍
2023	08	2	グラゼニ〜大リーグ編〜	足立金太郎	森高夕次	39	連載		
2023	08	3	焼いてるふたり	ハナツカシオリ		59	連載		
2023	08	4	アンメット—ある脳外科医の日記—	大月閑人	子鹿ゆずる	75	連載		
2023	08	5	ジドリの女王～氏家真知子最後の取材～	トウテムポール		95	連載		
2023	08	6	テレワァク与太話	山田金鉄		115	連載		
2023	08	7	平和の国の島崎へ	瀬下猛	濱田轟天	125	連載		
2023	08	8	出禁のモグラ	江口夏美		143	連載		
2023	08	9	猫奥	山村東		159	連載		
2023	08	10	マタギガンナー	Juan Albarran	藤本正二	167	連載		
2023	08	11	今日もベランダで	糸川一成		189	連載		
2023	08	12	リエゾン〜こどものこころ診療所〜	ヨンチャン	竹村優作	203	連載		
2023	08	13	ちいかわ なんか小さくてかわいいやつ	ナガノ		223	出張掲載	C	
2023	08	14	望郷太郎	山田芳裕		227	連載		
2023	08	15	とりぱん	とりのなん子		247	連載		
2023	08	16	警視庁草紙—風太郎明治劇場—	東直輝	山田風太郎	251	連載		
2023	08	17	ボールパークでつかまえて！	須賀達郎		273	連載		
2023	08	18	18=80	岩淵竜子		285	連載		
2023	08	19	この会社に好きな人がいます	榎本あかまる		309	連載		
2023	08	20	リバーベッド	青井ぬゐ	磯部涼	321	連載		
2023	08	21	艦隊のシェフ ア・ラ・カルト	萩原玲二	池田邦彦	341	連載		
2023	08	22	ワンオペ JOKER	後藤慶介	宮川サトシ	351	連載		
2023	08	23	イクサガミ	立沢克美	今村翔吾	375	連載		
2023	08	24	踊れ獅子堂賢	常喜寝太郎		393	連載		
2023	08	25	BATMAN JUSTICE BUSTER	清水栄一・下口知裕		411	連載		
2023	08	26	楽屋のトナくん	矢部太郎		431	連載		
