ID	掲載号	掲載順	タイトル	作者	原作	ページ	種別	カラー	摘要
WSJP202301	2023年 No.01	1	人造人間100	江ノ島だいすけ		9	連載		新連載
WSJP202301	2023年 No.01	2	僕とロボコ	宮崎周平		89	連載		
WSJP202301	2023年 No.01	3	ONE PIECE	尾田栄一郎		105	連載		
WSJP202301	2023年 No.01	4	SAKAMOTO DAYS	鈴木祐斗		123	連載		
WSJP202301	2023年 No.01	5	呪術廻戦	芥見下々		143	連載		
WSJP202301	2023年 No.01	6	イチゴーキ！操縦中	林聖二		165	連載		
WSJP202301	2023年 No.01	7	アオのハコ	三浦糀		191	連載		
WSJP202301	2023年 No.01	8	一ノ瀬家の大罪	タイザン5		211	連載		
WSJP202301	2023年 No.01	9	マッシュル-MASHLE-	甲本一		247	連載		
WSJP202301	2023年 No.01	10	あかね噺	馬上鷹将	末永裕樹	275	連載		
WSJP202301	2023年 No.01	11	暗号学園のいろは	岩崎優次	西尾維新	295	連載		
WSJP202301	2023年 No.01	12	ブラッククローバー	田畠裕基		319	連載		
WSJP202301	2023年 No.01	13	ウィッチウォッチ	篠原健太		337	連載		
WSJP202301	2023年 No.01	14	ギンカとリューナ	渡辺シンペイ		361	連載		
WSJP202301	2023年 No.01	15	逃げ上手の若君	松井優征		383	連載		
WSJP202301	2023年 No.01	16	夜桜さんちの大作戦	権平ひつじ		403	連載		
WSJP202301	2023年 No.01	17	HUNTER×HUNTER	冨樫義博		423	連載		
WSJP202301	2023年 No.01	18	高校生家族	仲間りょう		443	連載		
WSJP202301	2023年 No.01	19	アンデッドアンラック	戸塚慶文		459	連載		
WSJP202301	2023年 No.01	20	大東京鬼嫁伝	仲間只一		479	連載		
WSJP202301	2023年 No.01	21	PPPPPP	マボロ3号		499	連載		
WSJP202302	2023年 No.02	1	僕とロボコ	宮崎周平		3	連載		
WSJP202302	2023年 No.02	2	ウィッチウォッチ	篠原健太		47	連載		
WSJP202302	2023年 No.02	3	ONE PIECE	尾田栄一郎		67	連載		
WSJP202302	2023年 No.02	4	SAKAMOTO DAYS	鈴木祐斗		85	連載		
WSJP202302	2023年 No.02	5	僕のヒーローアカデミア	堀越耕平		107	連載		
WSJP202302	2023年 No.02	6	人造人間100	江ノ島だいすけ		123	連載		
WSJP202302	2023年 No.02	7	アオのハコ	三浦糀		149	連載		
WSJP202302	2023年 No.02	8	暗号学園のいろは	岩崎優次	西尾維新	169	連載		
WSJP202302	2023年 No.02	9	あかね噺	馬上鷹将	末永裕樹	189	連載		
WSJP202302	2023年 No.02	10	イチゴーキ！操縦中	林聖二		215	連載		
WSJP202302	2023年 No.02	11	逃げ上手の若君	松井優征		239	連載		
WSJP202302	2023年 No.02	12	一ノ瀬家の大罪	タイザン5		259	連載		
WSJP202302	2023年 No.02	13	夜桜さんちの大作戦	権平ひつじ		281	連載		
WSJP202302	2023年 No.02	14	PPPPPP	マボロ3号		311	連載		
WSJP202302	2023年 No.02	15	ギンカとリューナ	渡辺シンペイ		333	連載		
WSJP202302	2023年 No.02	16	HUNTER×HUNTER	冨樫義博		353	連載		
WSJP202302	2023年 No.02	17	アンデッドアンラック	戸塚慶文		373	連載		
WSJP202302	2023年 No.02	18	高校生家族	仲間りょう		393	連載		
WSJP202302	2023年 No.02	19	大東京鬼嫁伝	仲間只一		409	連載		
WSJP202302	2023年 No.02	20	マッシュル-MASHLE-	甲本一		429	連載		
WSJP202302	2023年 No.02	21	ヒトメボレサンダーボルト	里庄真芳		451	読み切り		
WSJP202303	2023年 No.03	1	あかね噺	馬上鷹将	末永裕樹	3	連載		
WSJP202303	2023年 No.03	2	アオのハコ	三浦糀		49	連載		
WSJP202303	2023年 No.03	3	SAKAMOTO DAYS	鈴木祐斗		71	連載		
WSJP202303	2023年 No.03	4	夜桜さんちの大作戦	権平ひつじ		93	連載		
WSJP202303	2023年 No.03	5	一ノ瀬家の大罪	タイザン5		115	連載		
WSJP202303	2023年 No.03	6	僕とロボコ	宮崎周平		135	連載		
WSJP202303	2023年 No.03	7	イチゴーキ！操縦中	林聖二		151	連載		
WSJP202303	2023年 No.03	8	呪術廻戦	芥見下々		171	連載		
WSJP202303	2023年 No.03	9	アンデッドアンラック	戸塚慶文		191	連載		
WSJP202303	2023年 No.03	10	人造人間100	江ノ島だいすけ		213	連載		
WSJP202303	2023年 No.03	11	逃げ上手の若君	松井優征		237	連載		
WSJP202303	2023年 No.03	12	暗号学園のいろは	岩崎優次	西尾維新	273	連載		
WSJP202303	2023年 No.03	13	ウィッチウォッチ	篠原健太		293	連載		
WSJP202303	2023年 No.03	14	高校生家族	仲間りょう		313	連載		
WSJP202303	2023年 No.03	15	HUNTER×HUNTER	冨樫義博		329	連載		
WSJP202303	2023年 No.03	16	PPPPPP	マボロ3号		349	連載		
WSJP202303	2023年 No.03	17	あいつはオカルト	三木有		369	読み切り		
WSJP202303	2023年 No.03	18	ギンカとリューナ	渡辺シンペイ		385	連載		
WSJP202303	2023年 No.03	19	大東京鬼嫁伝	仲間只一		405	連載		
WSJP202303	2023年 No.03	20	マッシュル-MASHLE-	甲本一		425	連載		
WSJP202303	2023年 No.03	21	やったぜ！ポメラニアン	小山ゆうじろう		445	読み切り		
WSJP202304-05	2023年 No.04-05	1	僕のヒーローアカデミア	堀越耕平		9	連載		
WSJP202304-05	2023年 No.04-05	2	僕とロボコ	宮崎周平		51	連載		
WSJP202304-05	2023年 No.04-05	3	ONE PIECE	尾田栄一郎		67	連載		
WSJP202304-05	2023年 No.04-05	4	SAKAMOTO DAYS	鈴木祐斗		85	連載		
WSJP202304-05	2023年 No.04-05	5	呪術廻戦	芥見下々		109	連載		
WSJP202304-05	2023年 No.04-05	6	夜桜さんちの大作戦	権平ひつじ		131	連載		
WSJP202304-05	2023年 No.04-05	7	アオのハコ	三浦糀		155	連載		
WSJP202304-05	2023年 No.04-05	8	暗号学園のいろは	岩崎優次	西尾維新	175	連載		
WSJP202304-05	2023年 No.04-05	9	ブラッククローバー	田畠裕基		195	連載		
WSJP202304-05	2023年 No.04-05	10	イチゴーキ！操縦中	林聖二		213	連載		
WSJP202304-05	2023年 No.04-05	11	ウィッチウォッチ	篠原健太		239	連載		
WSJP202304-05	2023年 No.04-05	12	人造人間100	江ノ島だいすけ		261	連載		
WSJP202304-05	2023年 No.04-05	13	あかね噺	馬上鷹将	末永裕樹	281	連載		
WSJP202304-05	2023年 No.04-05	14	一ノ瀬家の大罪	タイザン5		301	連載		
WSJP202304-05	2023年 No.04-05	15	残り火	白川蔵		321	読み切り		
WSJP202304-05	2023年 No.04-05	16	アンデッドアンラック	戸塚慶文		355	連載		
WSJP202304-05	2023年 No.04-05	17	逃げ上手の若君	松井優征		375	連載		
WSJP202304-05	2023年 No.04-05	18	HUNTER×HUNTER	冨樫義博		395	連載		
WSJP202304-05	2023年 No.04-05	19	大東京鬼嫁伝	仲間只一		415	連載		
WSJP202304-05	2023年 No.04-05	20	高校生家族	仲間りょう		435	連載		
WSJP202304-05	2023年 No.04-05	21	マッシュル-MASHLE-	甲本一		451	連載		
WSJP202304-05	2023年 No.04-05	22	PPPPPP	マボロ3号		471	連載		
WSJP202304-05	2023年 No.04-05	23	ギンカとリューナ	渡辺シンペイ		491	連載		
WSJP202306-07	2023年 No.06-07	1	ONE PIECE	尾田栄一郎		7	連載		
WSJP202306-07	2023年 No.06-07	2	SAKAMOTO DAYS	鈴木祐斗		51	連載		
WSJP202306-07	2023年 No.06-07	3	呪術廻戦	芥見下々		71	連載		
WSJP202306-07	2023年 No.06-07	4	僕とロボコ	宮崎周平		91	連載		
WSJP202306-07	2023年 No.06-07	5	僕のヒーローアカデミア	堀越耕平		107	連載		
WSJP202306-07	2023年 No.06-07	6	アオのハコ	三浦糀		123	連載		
WSJP202306-07	2023年 No.06-07	7	イチゴーキ！操縦中	林聖二		143	連載		
WSJP202306-07	2023年 No.06-07	8	ラックラック	島袋光年		161	読み切り		
WSJP202306-07	2023年 No.06-07	9	人造人間100	江ノ島だいすけ		213	連載		
WSJP202306-07	2023年 No.06-07	10	あかね噺	馬上鷹将	末永裕樹	233	連載		
WSJP202306-07	2023年 No.06-07	11	一ノ瀬家の大罪	タイザン5		253	連載		
WSJP202306-07	2023年 No.06-07	12	ブラッククローバー	田畠裕基		273	連載		
WSJP202306-07	2023年 No.06-07	13	あやかしトライアングル	矢吹健太朗		307	出張掲載		
