年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2022 	01	1	名探偵コナン	青山剛昌		23	連載		
2022 	01	2	古見さんは、コミュ症です。	オダトモヒト		39	連載		
2022 	01	3	葬送のフリーレン	アベツカサ	山田鐘人	57	連載		
2022 	01	4	シブヤニアファミリー	久米田康治		75	連載		
2022 	01	5	MAO	高橋留美子		81	連載		
2022 	01	6	よふかしうのうた	コトヤマ		103	連載		
2022 	01	7	龍と苺	柳本光晴		121	連載		
2022 	01	8	はじめラブコメ オガペペ	おきらくボーイ		139	連載		
2022 	01	9	魔王城でおやすみ	熊之股鍵次		157	連載		
2022 	01	10	かけあうつきひ	福井セイ		167	連載		
2022 	01	11	君は008	松江名俊		183	連載		
2022 	01	12	蒼穹のアリアドネ	八木教広		205	連載		
2022 	01	13	あおざくら 防衛大学校物語	二階堂ヒカル		223	連載		
2022 	01	14	保安官エヴァンスの嘘	栗山ミヅキ		233	連載		
2022 	01	15	ロボと生活	渥美駿		247	読み切り	C	
2022 	01	16	彼女の指は青い	村越ゆずお		281	読み切り	C	
2022 	01	17	スリースロー	牧彰久	NUMBER8	313	読み切り		
2022 	01	18	アラタカンガタリ〜革神語〜	渡瀬悠宇		359	連載		
2022 	01	19	バイロケーターズ	田辺狭介		377	連載		
2022 	01	20	十勝ひとりぼっち農園	横山裕二		396	連載		
2022 	02-03	1	白山さんと三田さん	くさかべゆうへい		13	連載	C	新連載
2022 	02-03	2	名探偵コナン	青山剛昌		73	連載		
2022 	02-03	3	舞妓さんちのまかないさん	小山愛子		89	連載		
2022 	02-03	4	葬送のフリーレン	アベツカサ	山田鐘人	99	連載		
2022 	02-03	5	龍と苺	柳本光晴		117	連載	C	
2022 	02-03	6	MAO	高橋留美子		139	連載		
2022 	02-03	7	古見さんは、コミュ症です。	オダトモヒト		157	連載		
2022 	02-03	8	魔王城でおやすみ	熊之股鍵次		175	連載		
2022 	02-03	9	よふかしうのうた	コトヤマ		185	連載		
2022 	02-03	10	シブヤニアファミリー	久米田康治		201	連載		
2022 	02-03	11	BE BLUES!	田中モトユキ		207	連載		
2022 	02-03	12	トニカクカワイイ	畑健二郎		225	連載		
2022 	02-03	13	君は008	松江名俊		243	連載		
2022 	02-03	14	かけあうつきひ	福井セイ		265	連載		
2022 	02-03	15	はじめラブコメ オガペペ	おきらくボーイ		281	連載		
2022 	02-03	16	あおざくら 防衛大学校物語	二階堂ヒカル		297	連載		
2022 	02-03	17	蒼穹のアリアドネ	八木教広		319	連載		
2022 	02-03	18	第九の波濤	草場道輝		339	連載		
2022 	02-03	19	保安官エヴァンスの嘘	栗山ミヅキ		361	連載		
2022 	02-03	20	偽物協会	白井もも吉		377	出張		
2022 	02-03	21	バイロケーターズ	田辺狭介		421	連載		
2022 	02-03	22	アラタカンガタリ〜革神語〜	渡瀬悠宇		439	連載		
2022 	02-03	23	十勝ひとりぼっち農園	横山裕二		458	連載		
2022 	04-05	1	帝乃三姉妹は案外、チョロい	ひらかわあや		19	連載	C	新連載
2022 	04-05	2	名探偵コナン	青山剛昌		81	連載		
