年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2022 	01	1 	SECOND BREAK!!	稲木智宏		3	連載	C	新連載
2022 	01	2 	カッコウの許嫁	吉河美希		75	連載		
2022 	01	3 	それでも歩は寄せてくる	山本崇一朗		95	連載		
2022 	01	4 	戦隊大失格	春場ねぎ		103	連載	C	
2022 	01	5 	ダイヤのA	寺嶋裕二		123	連載		
2022 	01	6 	はじめの一歩	森川ジョージ		143	連載		
2022 	01	7 	黒猫と兵士	蒼井万里		157	出張掲載		マガジンポケットより
2022 	01	8 	男子高校生を養いたいお姉さんの話	英貴		161	連載		
2022 	01	9 	炎炎ノ消防隊	大久保篤		169	連載		
2022 	01	10 	iコンタクト	月山可也	伊賀大晃	189	連載		
2022 	01	11 	東京卍リベンジャーズ	和久井健		209	連載		
2022 	01	12 	EDENS ZERO	真島ヒロ		229	連載		
2022 	01	13 	青のミブロ	安田剛士		249	連載		
2022 	01	14 	ブルーロック	ノ村優介	金城宗幸	269	連載		
2022 	01	15 	彼女、お借りします	宮島礼吏		289	連載		
2022 	01	16 	甘神さんちの縁結び	内藤マーシー		309	連載		
2022 	01	17 	シャングリラ・フロンティア	不二涼介	硬梨菜	329	連載		
2022 	01	18 	カノジョも彼女	ヒロユキ		347	連載		
2022 	01	19 	化物語	大暮維人	西尾維新	363	連載		
2022 	01	20 	賢者が仲間になった	アズ		391	連載		
2022 	01	21 	英戦のラブロック	シヒラ竜也		401	連載		
2022 	01	22 	黒岩メダカに私の可愛いが通じない	久世蘭		421	連載		
2022 	01	23 	黙示録の四騎士	鈴木央		435	連載		
2022 	01	24 	えるのわ！	スズモトコウ		455	連載		
2022 	01	25 	不滅のあなたへ	大今良時		469	連載		
2022 	02−03	1 	女神のカフェテラス	瀬尾公治		6	連載	C	新連載
2022 	02−03	2 	SECOND BREAK!!	稲木智宏		27	連載		
2022 	02−03	3 	それでも歩は寄せてくる	山本崇一朗		77	連載		
2022 	02−03	4 	シャングリラ・フロンティア	不二涼介	硬梨菜	85	連載		
2022 	02−03	5 	黙示録の四騎士	鈴木央		103	連載		
2022 	02−03	6 	化物語	大暮維人	西尾維新	123	連載		
2022 	02−03	7 	ダイヤのA	寺嶋裕二		145	連載		
2022 	02−03	8 	Gate of Nightmares	マツオカヨシノリ	スクエア・エニックス	165	出張掲載	C	マガジンポケットより
2022 	02−03	9 	EDENS ZERO	真島ヒロ		199	連載		
2022 	02−03	10 	カッコウの許嫁	吉河美希		219	連載		
2022 	02−03	11 	炎炎ノ消防隊	大久保篤		239	連載		
2022 	02−03	12 	ブルーロック	ノ村優介	金城宗幸	259	連載		
2022 	02−03	13 	東京卍リベンジャーズ	和久井健		279	連載		
2022 	02−03	14 	カノジョも彼女	ヒロユキ		299	連載		
2022 	02−03	15 	賢者が仲間になった	アズ		317	連載		
2022 	02−03	16 	青のミブロ	安田剛士		327	連載		
2022 	02−03	17 	甘神さんちの縁結び	内藤マーシー		347	連載		
2022 	02−03	18 	彼女、お借りします	宮島礼吏		367	連載		
2022 	02−03	19 	iコンタクト	月山可也	伊賀大晃	387	連載		
2022 	02−03	20 	戦隊大失格	春場ねぎ		407	連載		
2022 	02−03	21 	黒岩メダカに私の可愛いが通じない	久世蘭		425	連載		
2022 	02−03	22 	はじめの一歩	森川ジョージ		439	連載		
2022 	02−03	23 	山田さんは学びたい	大上明		451	読み切り		
2022 	02−03	24 	えるのわ！	スズモトコウ		457	連載		
2022 	02−03	25 	英戦のラブロック	シヒラ竜也		471	連載		
2022 	02−03	26 	男子高校生を養いたいお姉さんの話	英貴		491	連載		
2022 	02−03	27 	東京ネオスキャンダル	ガジタニ	MITA	501	出張掲載		マガジンポケットより
2022 	02−03	28 	信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐＆『ざまぁ！』します！	大前貴史	明鏡シスイ	561	出張掲載		マガジンポケットより
2022 	02−03	29 	不遇職【鑑定士】が実は最強だった～奈落で鍛えた最強の【神眼】で無双する～	藤モロホシ	茨木野	595	出張掲載		マガジンポケットより
2022 	02−03	30 	冰剣の魔術師が世界を統べる〜世界最強の魔術師である少年は、魔術学院に入学する〜	佐々木宣人	御子柴奈々	605	出張掲載		マガジンポケットより
2022 	04−05	1 	東京卍リベンジャーズ	和久井健		4	連載	C	
2022 	04−05	2 	彼女、お借りします	宮島礼吏		27	連載		
2022 	04−05	3 	SECOND BREAK!!	稲木智宏		47	連載		
2022 	04−05	4 	女神のカフェテラス	瀬尾公治		85	連載		
2022 	04−05	5 	はじめの一歩	森川ジョージ		103	連載		
2022 	04−05	6 	化物語	大暮維人	西尾維新	121	連載		
2022 	04−05	7 	ダイヤのA	寺嶋裕二		143	連載		
2022 	04−05	8 	カノジョも彼女	ヒロユキ		167	連載		
2022 	04−05	9 	ブルーロック	ノ村優介	金城宗幸	181	連載		
2022 	04−05	10 	甘神さんちの縁結び	内藤マーシー		201	連載		
2022 	04−05	11 	EDENS ZERO	真島ヒロ		221	連載		
2022 	04−05	12 	カッコウの許嫁	吉河美希		241	連載		
2022 	04−05	13 	炎炎ノ消防隊	大久保篤		261	連載		
2022 	04−05	14 	黒岩メダカに私の可愛いが通じない	久世蘭		281	連載		
2022 	04−05	15 	青のミブロ	安田剛士		295	連載		
2022 	04−05	16 	iコンタクト	月山可也	伊賀大晃	315	連載		
2022 	04−05	17 	英戦のラブロック	シヒラ竜也		335	連載		
2022 	04−05	18 	黙示録の四騎士	鈴木央		359	連載		
2022 	04−05	19 	えるのわ！	スズモトコウ		379	連載		
2022 	04−05	20 	戦隊大失格	春場ねぎ		401	連載		
2022 	04−05	21 	賢者が仲間になった	アズ		419	連載		
2022 	04−05	22 	男子高校生を養いたいお姉さんの話	英貴		429	連載		
2022 	04−05	23 	不滅のあなたへ	大今良時		437	連載		
2022 	04−05	24 	蒼く染めろ	桜井ミヤト		453	出張掲載	C	マガジンポケットより
2022 	04−05	25 	劣等人の魔剣使い　スキルボードを駆使して最強に至る	かのう寛人	萩鵜アキ	567	出張掲載	C	マガジンポケットより
2022 	04−05	26 	地獄の業火で焼かれ続けた少年。最強の炎使いとなって復活する。	宮城森成 	さとう	599	出張掲載	C	マガジンポケットより
2022 	04−05	27 	捨てられた転生賢者～魔物の森で最強の大魔帝国を作り上げる～	クリカラマル	未来人A	647	出張掲載	C	マガジンポケットより
2022 	06	1 	iコンタクト	月山可也	伊賀大晃	4	連載	C	
2022 	06	2 	黒岩メダカに私の可愛いが通じない	久世蘭		29	連載		
2022 	06	3 	炎炎ノ消防隊	大久保篤		43	連載		
2022 	06	4 	それでも歩は寄せてくる	山本崇一朗		63	連載		
2022 	06	5 	ダイヤのA	寺嶋裕二		73	連載		
2022 	06	6 	戦隊大失格	春場ねぎ		93	連載		
2022 	06	7 	男子高校生を養いたいお姉さんの話	英貴		111	連載		
2022 	06	8 	はじめの一歩	森川ジョージ		119	連載		
2022 	06	9 	きみとピコピコ	ゆずチリ		133	出張掲載		マガジンポケットより
2022 	06	10 	彼女、お借りします	宮島礼吏		137	連載		
2022 	06	11 	青のミブロ	安田剛士		163	連載		
2022 	06	12 	SECOND BREAK!!	稲木智宏		183	連載		
2022 	06	13 	EDENS ZERO	真島ヒロ		207	連載		
2022 	06	14 	女神のカフェテラス	瀬尾公治		227	連載		
2022 	06	15 	東京卍リベンジャーズ	和久井健		245	連載		
2022 	06	16 	カッコウの許嫁	吉河美希		265	連載		
2022 	06	17 	ブルーロック	ノ村優介	金城宗幸	285	連載		
2022 	06	18 	甘神さんちの縁結び	内藤マーシー		305	連載		
2022 	06	19 	英戦のラブロック	シヒラ竜也		325	連載		
2022 	06	20 	シャングリラ・フロンティア	不二涼介	硬梨菜	345	連載		
2022 	06	21 	カノジョも彼女	ヒロユキ		363	連載		
2022 	06	22 	黙示録の四騎士	鈴木央		377	連載		
2022 	06	23 	えるのわ！	スズモトコウ		397	連載		
2022 	06	24 	不滅のあなたへ	大今良時		411	連載		
2022 	06	25 	賢者が仲間になった	アズ		423	連載		
2022 	06	26 	劣等人の魔剣使い　スキルボードを駆使して最強に至る	かのう寛人	萩鵜アキ	438	出張掲載		マガジンポケットより
2022 	06	27 	地獄の業火で焼かれ続けた少年。最強の炎使いとなって復活する。	宮城森成 	さとう	453	出張掲載		マガジンポケットより
2022 	06	28 	捨てられた転生賢者～魔物の森で最強の大魔帝国を作り上げる～	クリカラマル	未来人A	463	出張掲載		マガジンポケットより
2022 	07	1 	化物語	大暮維人	西尾維新	5	連載	C	
2022 	07	2 	ダイヤのA	寺嶋裕二		31	連載		
