年	号数	掲載順	タイトル	作者	原作者	頁	区分	カラー	備考
2023	13	10	彼女、お借りします	宮島礼吏		155	連載		
2023	13	11	黙示録の四騎士	鈴木央		175	連載		
2023	13	12	甘神さんちの縁結び	内藤マーシー		195	連載		
2023	13	13	北沢くんはAクラス	夢乃狸		215	連載		
2023	13	14	生徒会にも穴はある！	むちまろ		233	連載		
2023	13	15	EDENS ZERO	真島ヒロ		241	連載		
2023	13	16	デッドアカウント	渡辺静		261	連載		
2023	13	17	女神のカフェテラス	瀬尾公治		281	連載		
2023	13	18	カナンさまはあくまでチョロい	nonco		299	連載		
2023	13	19	ガチアクタ	裏那圭		307	連載		
2023	13	20	戦隊大失格	春場ねぎ		327	連載		
2023	13	21	よわよわ先生	福地カミオ		345	連載		
2023	13	22	青のミブロ	安田剛士		359	連載		
2023	13	23	はじめの一歩	森川ジョージ		379	連載		
2023	13	24	アトワイトゲーム	新川直司		397	連載		
2023	13	25	日向さん、星野です。	うおやま		415	連載		
2023	13	26	不滅のあなたへ	大今良時		425	連載		
2023	14	1	ブルーロック	ノ村優介	金城宗幸	4	連載	C	
2023	14	2	女神のカフェテラス	瀬尾公治		29	連載		
2023	14	3	生徒会にも穴はある！	むちまろ		47	連載		
2023	14	4	シャングリラ・フロンティア	不二涼介	硬梨菜	55	連載		
2023	14	5	カノジョも彼女	ヒロユキ		73	連載	C	
2023	14	6	戦隊大失格	春場ねぎ		91	連載		
2023	14	7	化物語	大暮維人	西尾維新	109	連載		
2023	14	8	カナンさまはあくまでチョロい	nonco		131	連載		
2023	14	9	赤羽骨子のボディガード	丹月正光		139	連載	C	
2023	14	10	彼女、お借りします	宮島礼吏		161	連載		
2023	14	11	黙示録の四騎士	鈴木央		181	連載		
2023	14	12	よわよわ先生	福地カミオ		201	連載		
2023	14	13	EDENS ZERO	真島ヒロ		215	連載		
2023	14	14	カッコウの許嫁	吉河美希		235	連載		
2023	14	15	黒岩メダカに私の可愛いが通じない	久世蘭		255	連載		
2023	14	16	北沢くんはAクラス	夢乃狸		269	連載		
2023	14	17	それでも歩は寄せてくる	山本崇一朗		287	連載		
2023	14	18	デッドアカウント	渡辺静		295	連載		
2023	14	19	きらぼしお嬢様の求婚	英貴		315	連載		
2023	14	20	青のミブロ	安田剛士		325	連載		
2023	14	21	ガチアクタ	裏那圭		345	連載		
2023	14	22	はじめの一歩	森川ジョージ		365	連載		
2023	14	23	アトワイトゲーム	新川直司		383	連載		
2023	14	24	日向さん、星野です。	うおやま		401	連載		
2023	14	25	不滅のあなたへ	大今良時		411	連載		
2023	14	26	ロシア語でデレる隣のアーニャさん	手名町紗帆	燦々SUN	427	出張掲載		
2023	14	27	異世界ウォーキング	小川慧	あるくひと	453	出張掲載	C	
